num_episodes_passed,cumulative_reward,episode_length,avg_reward,unclipped_episode_reward,unclipped_average_reward
188,0.0,167,1.2180851063829787,0.0,1.2180851063829787
189,0.0,163,1.2116402116402116,0.0,1.2116402116402116
190,1.0,226,1.2105263157894737,1.0,1.2105263157894737
191,3.0,329,1.2198952879581151,3.0,1.219895287958115
192,0.0,166,1.2135416666666665,0.0,1.2135416666666665
193,0.0,172,1.2072538860103625,0.0,1.2072538860103625
194,2.0,257,1.2113402061855669,2.0,1.211340206185567
195,3.0,315,1.2205128205128204,3.0,1.2205128205128204
196,1.0,224,1.2193877551020407,1.0,1.2193877551020407
197,1.0,233,1.2182741116751268,1.0,1.2182741116751268
198,1.0,229,1.2171717171717171,1.0,1.2171717171717171
199,0.0,161,1.2110552763819096,0.0,1.2110552763819096
200,2.0,243,1.2150000000000001,2.0,1.215
201,0.0,169,1.2089552238805972,0.0,1.2089552238805972
202,1.0,226,1.2079207920792081,1.0,1.207920792079208
203,0.0,162,1.2019704433497538,0.0,1.2019704433497538
204,0.0,166,1.1960784313725492,0.0,1.1960784313725492
205,1.0,238,1.1951219512195124,1.0,1.1951219512195124
206,2.0,233,1.1990291262135924,2.0,1.1990291262135924
207,1.0,219,1.1980676328502418,1.0,1.1980676328502418
208,2.0,270,1.2019230769230771,2.0,1.201923076923077
av_max_q,0.10839860327541828
209,2.0,294,1.2057416267942584,2.0,1.2057416267942584
210,0.0,164,1.2000000000000002,0.0,1.2000000000000002
211,0.0,161,1.1943127962085309,0.0,1.194312796208531
212,1.0,201,1.1933962264150944,1.0,1.1933962264150944
213,0.0,163,1.187793427230047,0.0,1.187793427230047
214,0.0,162,1.1822429906542056,0.0,1.1822429906542056
215,3.0,304,1.1906976744186046,3.0,1.1906976744186046
216,6.0,491,1.212962962962963,6.0,1.212962962962963
217,0.0,173,1.207373271889401,0.0,1.207373271889401
218,3.0,298,1.2155963302752295,3.0,1.2155963302752295
219,0.0,163,1.2100456621004567,0.0,1.2100456621004567
220,1.0,221,1.2090909090909092,1.0,1.2090909090909092
221,0.0,160,1.2036199095022626,0.0,1.2036199095022626
222,0.0,163,1.1981981981981984,0.0,1.1981981981981984
223,0.0,170,1.1928251121076234,0.0,1.1928251121076234
224,1.0,229,1.1919642857142858,1.0,1.1919642857142858
225,1.0,233,1.1911111111111112,1.0,1.1911111111111112
226,1.0,225,1.1902654867256639,1.0,1.190265486725664
227,0.0,164,1.1850220264317182,0.0,1.1850220264317182
228,2.0,265,1.1885964912280702,2.0,1.1885964912280702
229,3.0,342,1.1965065502183407,3.0,1.1965065502183407
230,0.0,164,1.1913043478260872,0.0,1.1913043478260872
231,0.0,172,1.1861471861471864,0.0,1.1861471861471864
232,2.0,268,1.1896551724137934,2.0,1.1896551724137934
233,1.0,205,1.1888412017167385,1.0,1.1888412017167385
234,2.0,278,1.1923076923076925,2.0,1.1923076923076925
av_max_q,0.063668244634754956
235,3.0,307,1.2000000000000002,3.0,1.2000000000000002
236,1.0,228,1.1991525423728815,1.0,1.1991525423728815
237,1.0,233,1.1983122362869201,1.0,1.19831223628692
238,4.0,373,1.2100840336134455,4.0,1.2100840336134455
239,2.0,289,1.2133891213389123,2.0,1.2133891213389123
240,0.0,166,1.2083333333333335,0.0,1.2083333333333335
241,2.0,280,1.2116182572614109,2.0,1.211618257261411
242,1.0,206,1.2107438016528926,1.0,1.2107438016528926
243,1.0,203,1.2098765432098766,1.0,1.2098765432098766
244,3.0,331,1.2172131147540983,3.0,1.2172131147540983
245,1.0,200,1.2163265306122448,1.0,1.2163265306122448
246,3.0,302,1.2235772357723576,3.0,1.2235772357723576
247,4.0,395,1.234817813765182,4.0,1.234817813765182
248,2.0,246,1.2379032258064513,2.0,1.2379032258064513
249,1.0,200,1.2369477911646583,1.0,1.2369477911646583
250,0.0,165,1.2319999999999995,0.0,1.2319999999999995
251,1.0,245,1.231075697211155,1.0,1.231075697211155
252,2.0,240,1.2341269841269837,2.0,1.2341269841269837
253,3.0,328,1.2411067193675887,3.0,1.2411067193675887
254,1.0,242,1.2401574803149604,1.0,1.2401574803149604
255,2.0,287,1.2431372549019606,2.0,1.2431372549019606
256,4.0,391,1.2539062499999998,4.0,1.2539062499999998
257,0.0,163,1.2490272373540854,0.0,1.2490272373540854
av_max_q,0.049393417302781017
258,3.0,329,1.2558139534883719,3.0,1.2558139534883719
259,0.0,176,1.2509652509652507,0.0,1.2509652509652507
260,2.0,292,1.2538461538461536,2.0,1.2538461538461536
261,3.0,333,1.2605363984674327,3.0,1.2605363984674327
262,1.0,223,1.2595419847328242,1.0,1.2595419847328242
263,5.0,423,1.2737642585551328,5.0,1.2737642585551328
264,2.0,298,1.2765151515151512,2.0,1.2765151515151512
265,2.0,267,1.2792452830188676,2.0,1.2792452830188676
266,0.0,166,1.2744360902255636,0.0,1.2744360902255636
267,3.0,333,1.280898876404494,3.0,1.280898876404494
268,0.0,165,1.2761194029850742,0.0,1.2761194029850742
269,1.0,221,1.2750929368029735,1.0,1.2750929368029735
270,0.0,167,1.2703703703703699,0.0,1.27037037037037
271,0.0,165,1.2656826568265678,0.0,1.2656826568265678
272,2.0,264,1.268382352941176,2.0,1.268382352941176
273,3.0,294,1.2747252747252742,3.0,1.2747252747252742
274,2.0,250,1.2773722627737221,2.0,1.277372262773722
275,1.0,208,1.2763636363636357,1.0,1.2763636363636357
276,2.0,276,1.2789855072463761,2.0,1.278985507246376
277,4.0,383,1.288808664259927,4.0,1.288808664259927
278,5.0,441,1.3021582733812942,5.0,1.3021582733812942
279,2.0,243,1.3046594982078845,2.0,1.3046594982078845
av_max_q,0.063088945578783751
280,3.0,295,1.3107142857142848,3.0,1.3107142857142848
281,3.0,349,1.3167259786476859,3.0,1.316725978647686
282,0.0,156,1.3120567375886516,0.0,1.3120567375886516
283,2.0,285,1.314487632508833,2.0,1.314487632508833
284,2.0,302,1.3169014084507034,2.0,1.3169014084507034
285,1.0,198,1.3157894736842097,1.0,1.3157894736842097
286,4.0,399,1.3251748251748243,4.0,1.3251748251748243
287,1.0,222,1.324041811846689,1.0,1.324041811846689
288,3.0,280,1.3298611111111103,3.0,1.3298611111111103
289,2.0,293,1.3321799307958468,2.0,1.3321799307958468
290,1.0,212,1.3310344827586198,1.0,1.3310344827586198
291,0.0,170,1.3264604810996554,0.0,1.3264604810996554
292,1.0,201,1.3253424657534236,1.0,1.3253424657534236
293,1.0,205,1.3242320819112618,1.0,1.3242320819112618
294,1.0,203,1.3231292517006794,1.0,1.3231292517006794
295,3.0,338,1.3288135593220329,3.0,1.328813559322033
296,0.0,167,1.3243243243243235,0.0,1.3243243243243235
297,6.0,468,1.3400673400673393,6.0,1.3400673400673393
298,2.0,264,1.34228187919463,2.0,1.34228187919463
299,4.0,377,1.351170568561872,4.0,1.351170568561872
300,2.0,270,1.3533333333333324,2.0,1.3533333333333324
301,2.0,260,1.3554817275747499,2.0,1.35548172757475
302,2.0,266,1.3576158940397343,2.0,1.3576158940397343
av_max_q,0.098048781743273139
303,2.0,279,1.3597359735973589,2.0,1.3597359735973589
304,3.0,302,1.3651315789473675,3.0,1.3651315789473675
305,0.0,163,1.3606557377049171,0.0,1.360655737704917
306,1.0,224,1.3594771241830057,1.0,1.3594771241830057
307,1.0,232,1.3583061889250807,1.0,1.3583061889250807
308,1.0,210,1.3571428571428563,1.0,1.3571428571428563
309,1.0,227,1.3559870550161803,1.0,1.3559870550161803
310,3.0,332,1.3612903225806443,3.0,1.3612903225806443
311,3.0,331,1.3665594855305458,3.0,1.3665594855305458
312,4.0,375,1.3749999999999993,4.0,1.3749999999999993
313,2.0,265,1.3769968051118204,2.0,1.3769968051118204
314,4.0,395,1.3853503184713369,4.0,1.385350318471337
315,5.0,403,1.3968253968253961,5.0,1.396825396825396
316,3.0,332,1.4018987341772144,3.0,1.4018987341772144
317,2.0,260,1.4037854889589898,2.0,1.4037854889589898
318,1.0,191,1.4025157232704395,1.0,1.4025157232704395
319,1.0,221,1.401253918495297,1.0,1.401253918495297
320,0.0,172,1.3968749999999992,0.0,1.3968749999999992
321,1.0,203,1.3956386292834884,1.0,1.3956386292834884
322,3.0,305,1.4006211180124217,3.0,1.4006211180124217
323,3.0,334,1.405572755417956,3.0,1.405572755417956
324,1.0,226,1.4043209876543203,1.0,1.4043209876543203
av_max_q,0.045231950411107391
325,2.0,285,1.4061538461538454,2.0,1.4061538461538454
326,1.0,204,1.4049079754601219,1.0,1.404907975460122
327,0.0,165,1.4006116207951063,0.0,1.4006116207951063
328,4.0,397,1.4085365853658529,4.0,1.408536585365853
329,2.0,288,1.4103343465045586,2.0,1.4103343465045586
330,1.0,208,1.4090909090909085,1.0,1.4090909090909085
331,4.0,372,1.4169184290030206,4.0,1.4169184290030206
332,4.0,392,1.4246987951807224,4.0,1.4246987951807224
333,1.0,205,1.4234234234234229,1.0,1.4234234234234229
